year,Cityid,地区,地区生产总值万元,第一产业增加值万元,第二产业增加值万元,第三产业增加值万元,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,人均地区生产总值元,户籍人口万人,城镇户籍人口万人,非农业人口数万人,年平均人口万人,年末总户数万户,出生人口人,死亡人口人,自然增长率,常住人口,城镇常住人口万人,年末单位从业人员数万人,城镇私营和个体从业人员数人,年末城镇登记失业人员数人,第一产业从业人员数万人,第二产业从业人员数万人,第三产业从业人员数万人,第一产业从业人员比重,第二产业从业人员比重,第三产业从业人员比重,农林牧渔业从业人员数万人,采掘业从业人员数万人,制造业从业人员数万人,电力煤气及水生产供应业从业人员数万人,建筑业从业人员数万人,交通仓储邮电业从业人员数万人,信息传输计算机服务和软件业从业人员数万人,批发零售贸易业从业人员数万人,住宿餐饮业从业人员数万人,金融业从业人员数万人,房地产业从业人员数万人,租赁和商业服务业从业人员数万人,科研技术服务和地质勘查业从业人员数万人,水利环境和公共设施管理业从业人员数万人,居民服务和其他服务业从业人员数万人,教育业从业人员数万人,卫生社会保险和社会福利业从业人员数万人,文化体育和娱乐业从业人员数万人,公共管理和社会组织从业人员数万人,地质勘察水利管理业从业人数万人,交通仓储邮电通信业从业人员数万人,批发零售贸易餐饮业从业人员数万人,社会服务业从业人员数万人,卫生体育社会福利业从业人员数万人,教育文艺广播影视业从业人员数万人,科研综合技术服务业从业人员数万人,机关和社会团体从业人员数万人,在岗职工平均人数万人,在岗职工工资总额万元,职工平均工资元,行政区域土地面积平方公里,年末耕地总资源千公顷,人均占有耕地面积亩,人口密度人平方公里,水资源总量万立方米,地区生产总值增长率,粮食产量万吨,油料产量万吨,棉花产量万吨,蔬菜产量吨,水果产量吨,肉类产量吨,奶类产量吨,水产品产量吨,禽蛋产量吨,规模以上工业企业数个,内资企业数个,港澳台商投资企业数个,外商投资企业数个,规模以上工业总产值当年价万元,内资企业工业总产值万元,港澳台商投资企业工业总产值万元,外商投资企业工业总产值万元,从业人员年平均人数万人,产品销售收入万元,利税总额万元,本年应交增值税万元,利润总额万元,流动资产年平均余额万元,固定资产净值年平均余额万元,流动资产合计万元,固定资产合计万元,主营业务税金及附加万元,固定资产投资总额万元,房地产开发投资完成额万元,住宅开发投资完成额万元,社会消费品零售总额万元,限额以上批发零售贸易业商品销售总额万元,限额以上批发零售贸易企业数个,当年新签项目个数个,当年合同外资金额万美元,当年实际使用外资金额万美元,货物进口额万元,货物出口额万元,地方财政一般预算内收入万元,工商税收万元,地方财政一般预算内支出万元,科学支出万元,教育支出万元,年末金融机构各项贷款余额万元,年末金融机构存款余额万元,城乡居民储蓄年末余额万元,普通高等学校学校数所,普通中学学校数所,小学学校数所,中等职业教育学校数所,普通高等学校专任教师数人,普通中学专任教师数人,小学专任教师数人,中等职业教育学校专任教师数人,普通高等学校在校学生数人,普通本专科在校学生数人,普通中学在校学生数万人,小学在校学生数万人,高中阶段在校学生数人,中等职业技术学校在校学生数人,成人高等学校在校学生数人,每万人在校大学生数人,每万人在校中等职业学生数人,RD人员人,RD内部经费支出万元,专利申请数件,专利授权数件,发明专利授权数件,公共图书馆个,剧场影剧院数个,公共图书馆图书总藏量千册件,每百人公共图书馆藏书册件,博物馆数个,体育场馆数个,卫生机构数个,医院卫生院数个,医院卫生院床位数张,医生数人,客运总量万人,铁路旅客运量万人,公路客运量万人,水运客运量万人,民用航空客运量人,货运总量万吨,铁路货物运量万吨,公路货运量万吨,水运货运量万吨,民用航空货邮运量吨,年末邮政局数处,邮政业务总量万元,电信业务总量万元,本地电话年末用户数万户,移动电话年末用户数万户,国际互联网用户数户,全年用电量万千瓦时,工业用电万千瓦时,城镇生活消费用电万千瓦时,境内公路总里程公里,高速公路里程公里,工业废水排放量万吨,工业废水排放达标量万吨,工业二氧化硫去除量吨,工业二氧化硫排放量吨,工业烟尘去除量吨,工业烟尘排放量吨,工业二氧化硫产生量吨,工业烟粉尘去除量吨,工业烟粉尘排放量吨,工业氮氧化物排放量吨,生活污水处理率,生活垃圾无害化处理率,工业固体废物综合利用率,一般工业固体废物综合利用率,污水处理厂集中处理率,可吸入细颗粒物年平均浓度微克立方米,保险业承保额万元,城镇职工基本养老保险参保人数人,城镇基本医疗保险参保人数人,失业保险参保人数人,提供住宿的社会工作机构数个,养老机构数个,提供住宿的社会工作机构床位数张,养老机构床位数张,Population_density,Popjuniorcollege,Popcollege,Human_capital_index,GDP_10000yuan,PM25,ResidentsPop,RegisteredPop,Population_mobility_rate,Housing_price
2017,330400,嘉兴,43805200,,,,,,,94510,356,,,354,109,38376,25462,3.63,,,79.134,1111213,26863,.039,50.29,28.806,.05,63.55,36.4,.039,,44.082,1.082,5.126,1.8,.552,2.363,.631,2.738,1.688,2.123,1.43,1.022,.081,5.724,3.481,.434,4.738,,,,,,,,,69,5726639,82934,4223,,,,273116,,92.76000000000001,,.06,,617000,85700,,156700,33000,5394,4391,474,529,,,,,,,,2562684,5627869,,,46820340,29899670,446650,,7238050,5476592,18066242,25466566,1522,360,,299452,,,4437941,,4947026,202514,1020834,59738994,73447081,34063490,6,172,146,17,3080,14558,14612,3035,,69153,16,25,,48939,,,,45970,1205318,33029,18244,1850,,,8290,,39,62,,75,22044,11392,,,2984,80,,,,12832,9109,,,56981,845536,,632,1750000,4839624,3900849,231339,,,19695,,,22516,,,,,10953,22023,,100,,97.94,92.69,42,,1722283,2165179,1221003,,,,,,69153,69153,194.25,43805200,42,4.656,3.5637,.306507281757724,10054.75
2018,330400,嘉兴,48719836,1149788.13,26245375.653,21324672.217,2.36,53.87,43.77,103858,360,,,358,111,32005,25735,1.74,,,75.258,,26580,.086,45.91,29.262,.11,61,38.88,.086,,41.482,1.14,3.288,1.597,.632,2.098,.608,2.059,1.709,3.171,1.42,.838,.119,5.879,3.561,.385,5.186,,,,,,,,,73,6588599,90342,4223,,,,365060,7.6,93.42,,.127,,558900,85700,,157600,30400,5822,4829,439,554,,,,,,,,2709306,6097528,,,53416070,54554252,471015,,9524709,7678919,19385940,29040181,1596,350,,313980,8038696,20173311,5185536,,5888689,238688,1202026,67706905,81043226,37194671,6,170,147,21,3134,14488,15043,3568,,70711,16,26,,48904,,,,56637,1389345,47864,24589,2506,,,8770,,39,65,,82,23050,12340,,,2971,247,,,,13864,2269,,,64199,559827,,720,1920000,5220618,4155611,261724,,,19104,,,18556,,,,,7540,16895,,100,,99.17,94.44,39,,1810866,2295771,1440474,,,,,,70711,70711,196.4194444444445,48719836,39,5.231,3.6044,.451281766729553,11018.75
2019,330400,嘉兴,53700000,1208250,28928190,23568930,2.25,53.87,43.89,112751,364,,,362,113,31322,24585,1.85,,,73.96899999999999,,30260,.028,42.935,31.007,.04,58.04,41.92,.028,,40.642,1.024,1.27,1.594,.8,2.096,.59,2.276,1.922,3.713,1.373,1.103,.096,6.172,3.808,.433,5.031,,,,,,,,,71,6945030,97767,4223,,,,332078,7,,,,,,,,,,6452,5424,429,599,,,,,,,,2498071,6117657,,,60110070,31535255,498005,,9797034,7818052,21025403,32835741,1721,339,,412541,7256887,21064585,5656945,,7668853,330388,1310320,80044316,93184427,43134368,6,166,150,21,3946,14402,15288,3238,,72365,16,27,,49180,,,,64992,1646576,39248,27771,2313,,,9870,,37,66,,87,23744,13422,,,2971,330,,,,14534,10466,,,78072,578686,,705,1870000,5380258,4239876,277099,,,18871,,,11988,,,,,12841,16177,,100,,99,96.94,35,,1876426,2429910,1490394,,,,,,72365,72365,198.8049450549451,53700000,35,5.335,3.636987,.466873541203199,11651.25
2020,330400,嘉兴,55100000,1239750,28607920,25252330,2.25,51.92,45.83,102541,,,,,,,,,541,386,73.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,7758711,107614,,,,,421727,3.45,,,,,,,,,,6364,5369,387,608,,,,,,,,,6584660,,,68038410,,,,,,20923440,36654198,1763,,,,7791409,22731789,5988000,,7121830,340099,1402850,100261567,104890408,,6,165,153,21,4144,14464,15836,3228,,76304,16,28,,51943,,,,,,,34966,4733,,,10780,,37,,,94,24206,15322,,,1359,,,,,16934,,,,,,,,,,,,8276,419,,,,5232,,,,,7414,12551,,100,,,97.79000000000001,28,,1973585,2551576,1563738,,,,,,76304,76304,207.3478260869565,55100000,28,5.411,3.673799,.472862287784389,12026.58333333333
2021,330400,嘉兴,63550000,1321840,34539425,27701445,2.08,54.35,43.59,116323,372,224,,,,,,,,,77.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,8678435,117155,,,,,360000,8.5,,,,,,,,,,6818,5792,389,637,,,,,,,,,8748130,,,84605632,,,,,,22750342,50592382,1947,,,,9830373,28007920,6748000,,7937224,389168,1484607,120667061,117006917,,6,166,152,21,3973,14616,16356,3305,,78999,17,30,,48247,,,,,,,41264,3818,,,11700,,38,,,101,24972,17729,,,673,,,,,18154,,,,1060660,658123,,706,2070000,,,,8215,428,,,,4769,,,,,6854,14057,,100,,,98.06999999999999,26,,2863621,2634253,1625642,98,86,18606,17922,,78999,78999,212.3629032258065,63550000,26,5.516,3.718489,.483398229764832,13081.28571428571
2022,330400,嘉兴,67390000,1442146,37192541,28755313,2.14,55.19,42.67,121794,375,233,,,,,,,,,79.75700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,9564727,,,,,,250000,2.49,,,,,,,,,,6592,5582,374,636,,,,,,,,,6996450,,,97732536,,,,,,23427304,59105557,2192,,,,11869158,32130776,5964742,,8277051,461927,1586842,140983851,132604790,,6,171,151,21,4013,14739,17020,3390,,81043,18,31,,37217,,,,,,,39085,3932,,,12530,,35,,,101,25405,20366,,,276,,,,,16339,,,,1178540,793322,,726,,,,,8246,428,,,,4510,,,,,,13870,,100,,,98.31,26,,2931821,2720607,1638195,97,85,19123,18437,,81043,81043,216.1146666666667,67390000,26,5.551,3.748457,.480875997777219,
2013,330500,湖州,18031501,1254992.47,9531451.429,7243253.952,6.96,52.86,40.17,68823,262.5,,,261.9,,,,2.3,,,48.2,577700,13400,.03,31.82,16.37,.06,65.98999999999999,33.95,.03,.29,18.27,.7,12.56,1.98,.91,.5,.45,1.56,.71,.58,.45,.58,.05,3.2,1.9,.19,3.31,,,,,,,,,42,2148619,51637.08,5824,,,451,,8.34,90.55,4.49,.024,806200,272600,191700,3900,292010,52500,2577,2074,252,251,38280173,29379456,4763045,4137672,,,,995970,2202697,,,16266830,8320508,211816,10700473,2676379,1790217,7662182,17712625,464,211,,105860,,,1546646,,1675076,60105,415340,21454291,25779300,12437968,3,125,130,12,1960,10101,8558,1968,26673,,12.59,15.67,85867,33361,5818,327,127,,,,,,5,5,2019,77,,,1335,111,11694,6569,8363,,8325,38,,16628,,7192,9436,,76,,315944,97,366,810000,,,,,,10789,,,36806,,,86923,3580830,30000,,,100,,96.27,91.40000000000001,,,1086100,962100,577603,,,,,450.7,,26673,101.6114285714286,18031501,,,2.624905,,
2014,330500,湖州,19559985,1202939.078,9991240.338,8365805.585,6.15,51.08,42.77,66917,263.8,,,263.1,,,,3.4,,,49.429,643562,17330,.026,32.467,16.936,.05,65.68000000000001,34.27,.026,.18,18.99,.763,12.534,2.142,.895,.506,.422,1.706,.744,.6860000000000001,.442,.618,.056,3.223,1.941,.225,3.331,,,,,,,,,43,2406848,56445.78,5820,,,453,,8.42,73.75,,.027,,268800,166800,,305800,48100,2719,2233,239,247,42013960,32221513,5199902,4592545,,,,1129392,2403265,,,17776984,9528253,256345,12429184,3427487,2332812,8711964,20045370,644,157,,98419,,,1678400,,2245670,69814,464525,23249508,27560543,13699495,3,123,128,12,1463,10078,8556,2093,26988,,12.2,15.61,77884,32341,5699,102,122,,,,,,,5,2174,82,,,,114,11632,6819,6307,,6244,63,,13202,,7463,5739,,74,21097,308693,91,383,880000,,,,,,10020,,,36521,,,78149,2027604,31655,,,98.94,,96.59,91.98,,,1273876,2640000,616166,,,,,453.23,,26988,102.3047763457164,19559985,,2.93,2.637845,.110755180838905,
2015,330500,湖州,20842666,1223464.494,10267097.272,9352104.233999999,5.87,49.26,44.87,70894,263.71,,,263.8,,,,.41,,,50.058,678874,16751,.015,32.86,17.183,.03,65.64,34.33,.015,.119,18.687,.705,13.348,.848,.416,1.977,.756,1.906,.722,.639,.438,.592,.046,3.202,2.014,.341,3.288,,,,,,,,,42,2585986,61201,5820,,,454,,8.32,66.95,,.031,,260300,129800,,360600,42600,2752,2300,232,220,44131008,33898167,5409075,4823766,,,,1187580,2642504,,,18883502,10414073,268600,14026428,3233875,2280386,9639221,23224675,666,185,,94188,,,1913116,,2737406,83942,533475,25098339,30346398,15481478,3,118,129,12,1483,10083,8607,2184,32199,,11.64,15.58,,31893,,122,121,,,,,,,,1960,74,,,,124,13254,7370,,,5976,71,,,,7819,5746,,82,26224,312966,89,450,1040000,,,,,,8611,,,40226,,,87347,3494066,28855,,,100,,97.87,92.5,,,1333301,1110060,644948,,,,,453.61,,32199,122.1000341283986,20842666,,2.95,2.637139,.118636522382779,8199.888888888889
2016,330500,湖州,22843743,1274680.859,10994693.506,10574368.635,5.58,48.13,46.29,77110,265,,,264,,,,2.91,,,50.226,713652,15906,.02,32.67,17.536,.04,65.05,34.91,.02,.11,19.134,.675,12.751,.864,.432,1.969,.835,2.07,.633,.71,.427,.548,.038,3.247,2.075,.343,3.344,,,,,,,,,44,2853385,65051,5820,,,,841074,7.64,62.97,,.032,,242800,134400,,383100,42100,2806,2387,228,191,46060507,35163790,6018287,4878430,,,,1208405,2952594,,,20778856,10879761,316331,15921759,2742244,1758212,10688648,27220597,696,110,,100131,,,2111792,,2886169,93215,581217,27403590,34768018,17447634,3,120,126,12,1511,10097,8800,2087,26668,,11,16,,28349,,,,,,,,,,,2077,,,,,146,12836,7619,,,4925,81,,,,8618,5908,,90,33091,326084,82,456,1180000,,,,,,8532,,,28298,,,89112,3599189,19565,,,100,,99.25,92.70999999999999,,,1355516,1169500,656060,,,,,,,26668,100.6339622641509,22843743,,2.975,2.648446,.123300229644101,8385
2017,330500,湖州,24761300,,,,,,,82952,266,,,265,87,29073,21879,2.7,,,50.38,887034,14925,.026,32.518,17.836,.05,64.55,35.4,.026,.109,19.041,.805,12.563,.902,.43,1.35,1.195,2.315,.645,.783,.458,.51,.038,3.284,2.18,.361,3.384,,,,,,,,,42,3057077,72335,5820,,,,366101,,48.5,,.012,,240000,67400,,423100,33700,2945,2567,204,174,,,,,,,,1217780,3061938,,,22343231,10129099,284463,,3011700,2293640,11881547,22037205,743,115,,105320,,,2374308,,3250181,112968,636727,32668208,39630456,19046429,3,124,127,12,1628,10141,9079,2109,,26383,11,16,,28732,,,,24168,655700,28808,12025,2190,,,2900,,25,42,,58,13962,8080,,,5166,95,,,,9817,6939,,,44473,360328,,443,1580000,2443329,1821630,152348,,,8470,,,22117,,,,,15039,37466,,100,,99.25,94.95999999999999,42,,1438368,1247800,723158,,,,,,26383,26383,99.18421052631579,24761300,42,2.995,2.661413,.125342064534892,9309
2018,330500,湖州,27190675,1277961.725,12736112.17,13176601.105,4.7,46.84,48.46,90304,267,,,267,87,24981,19966,1.88,,,47.372,1451606,17118,.016,29.812,17.544,.03,62.93,37.03,.016,.08,17.06,.904,11.768,.911,.426,1.404,.927,2.308,.654,.632,.463,.395,.033,3.327,2.155,.199,3.71,,,,,,,,,41,3306475,81617,5820,,,,522577,8.050000000000001,51.82,,.023,,239900,72200,,464800,29000,3049,2667,206,176,,,,,,,,1167039,2577169,,,24104877,,291916,,5232974,4018419,12972390,25934137,780,218,,127143,1141488,7709825,2870960,,3975433,157795,699078,38715321,45140784,21213667,3,120,128,12,1653,10133,9248,2077,,26941,11,17,,28306,,,,,,37284,18672,1831,,,2750,,29,42,,62,13598,8847,,,5242,98,,,,11504,7279,,,52509,364639,,503,1930000,2748017,2034719,170313,,,8280,,,18757,,,,,14289,32234,,100,,99.64,96.91,36,,1518181,1351800,771668,,,,,,26941,26941,100.9026217228464,27190675,36,3.259,2.670612,.220319537244646,11136.33333333333
2019,330500,湖州,31220000,1339338,15953420,13933486,4.29,51.1,44.63,102593,268,,,267,87,23066,18528,1.7,,,48.977,1417101,14991,.025,29.576,19.376,.05,60.39,39.56,.025,.086,17.593,.705,11.192,.9429999999999999,.471,1.353,.948,2.288,.753,1.143,.516,.516,.074,3.776,2.398,.224,3.973,,,,,,,,,42,3809657,89631,5820,,,,519697,7.9,,,,,,,,,,3609,3286,161,162,,,,,,,,1459071,3158985,,,27368519,12074202,292146,,5862681,4919810,14292721,31134617,922,295,,189881,1015881,8385924,3160702,,4668656,187149,768283,48184632,51637465,24449737,3,119,128,13,1778,10175,9562,2117,,28834,12,17,,28083,,,,35082,870122,23359,16419,1256,,,2850,,31,45,,70,16925,9422,,,5522,123,,,,13183,7819,,,315252,383080,,463,2040000,2950204,2155129,183257,,,7786,,,15298,,,,,11223,27156,,100,,100,97.48999999999999,32,,1617100,1447652,826970,,,,,,28834,28834,107.589552238806,31220000,32,3.327,2.675698,.243413868082272,10805.75
2020,330500,湖州,32010000,1398837,15880161,14731002,4.37,49.61,46.02,95579,,,,,,,,,337,221,51.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,4548212,97620,,,,,598459,3.26,,,,,,,,,,3792,3473,159,160,,,,,,,,,3668576,,,31858800,,,,,,14244312,36463634,982,,,,1063872,10257869,3365565,,4844230,195052,841881,59234682,58566987,,4,117,131,13,1920,10306,10047,2224,,33770,12,18,,29833,,,,,,,17712,1352,,,3620,,36,,,72,16826,9851,,,3455,,,,,12094,,,,,,,,,,,,8139,418,,,,5575,,,,,8618,11828,,100,,,98.29000000000001,26,,1696729,1547890,879729,,,,,,33770,33770,125.7728119180633,32010000,26,3.372,2.680587,.257933430252404,10253.41666666667
2021,330500,湖州,36450000,1490805,18651465,16311375,4.09,51.17,44.75,107534,269,126,,,,,,,,,52.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,5113857,106718,,,,,540000,9.5,,,,,,,,,,4082,3751,156,175,,,,,,,,,4248167,,,39458794,,,,,,15561789,45614014,1080,,,,1347389,13561886,4135188,,5244939,225487,966992,71860452,67229924,,4,117,126,13,1918,10521,10430,2327,,37405,12,19,,32290,,,,,,,20216,2036,,,4090,,38,,,82,18865,10988,,,573,,,,,14167,,,,481673,470759,,445,2460000,,,,8249,452,,,,4136,,,,,7566,10291,,100,,,98.44,25,,1786929,1615001,934029,175,175,30848,30848,,37405,37405,139.0520446096654,36450000,25,3.407,2.684952,.268923988212825,10111.14285714286
2022,330500,湖州,38500000,1613150,19661950,17224900,4.19,51.07,44.74,112902,269,128,,,,,,,,,53.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,5422932,,,,,,340000,3.3,,,,,,,,,,4251,3916,158,177,,,,,,,,,3528917,,,46721870,,,,,,15961479,51319411,1085,,,,1294398,15001315,3872962,,6019198,262508,1049752,87848158,77521788,,4,117,129,13,2170,10589,10781,2289,,39067,12,19,,32143,,,,,,,18954,2232,,,4120,,36,,,85,19043,11621,,,305,,,,,13217,,,,493489,520972,,460,,,,,8222,452,,,,3768,,,,,,8345,,100,,,98.54000000000001,29,,1844521,1672984,950171,112,102,14398,14033,,39067,39067,145.2304832713755,38500000,29,3.413,2.68827,.269589736150015,
2011,330600,绍兴,33319960,1719309.936,18342637.98,13254680.088,5.16,55.05,39.78,75820,440,,,439.5,,,,.4,,,125.18,600126,34488,.06,101.88,23.24,.05,81.39,18.56,.06,.29,36.94,1.22,63.44,1.45,.46,2.24,.88,2.18,.75,1.16,.58,.82,.05,5.37,2.91,.38,4,,,,,,,,,111,4425898,39808.4,8256,,,533,,10.53,118.3,5.61,.284,2375900,618100,181500,4100,93500,48400,3427,2674,461,292,79326832,61007936,11895356,6423540,,,,1760099,4807592,,,42526030,17672064,320910,14262594,4032384,2897963,10067548,14403920,899,195,,80468,,,2396916,,2533091,123294,561261,44630856,55101360,22276697,7,187,416,24,2761,18216,14837,2619,56455,,26.57,30.38,180623,69287,19998,128,157,,,,,,6,31,2673,61,,,2887,147,16624,10091,17907,492,17328,87,,9021,122,7694,1205,,118,37947,498467,199,588,1076128,,,,,,33124,,,60425,,,109282,1249619,22999,,,100,91,,81.94,,,1549953,1410324,899526,,,,,532.96,,56455,128.3068181818182,33319960,,,,,9896
2012,330600,绍兴,36540321,1848940.243,19625806.409,15069228.38,5.06,53.71,41.24,82966,440.8,,,440.4,,,,.7,,,130.7,666464,39300,.05,106.48,24.13,.04,81.48999999999999,18.47,.05,.21,36.54,1.22,68.5,1.47,.55,2.19,.91,2.39,.6899999999999999,1.15,.63,.97,.05,5.57,2.99,.38,4.2,,,,,,,,,116,5311926,45615.51,8256,,,534,,9.75,120.1,5.42,.252,2409000,619000,182000,6300,96600,52000,3682,2916,487,279,85512533,67017864,12570713,5923956,,,,1875275,4546728,,,46208926,18707511,348519,17225646,4677089,3472455,11586575,16544194,1003,134,,95400,,,2657555,,2787074,132309,672450,49341738,58459494,24920890,7,186,405,23,2874,18476,15278,2699,59758,,25.83,30.24,175428,64422,21844,136,146,,,,,,6,27,2931,66,,,2635,147,18501,10638,18000,488,17414,98,,9547,120,8204,1223,,149,42069,538925,195,664,1260000,,,,,,30418,,,59280,,,128697,1493593,15693,,,100,,92,84.81999999999999,,,1886900,1562100,997000,,,,,533.95,,59758,135.5671506352087,36540321,,,,,7921.5
2013,330600,绍兴,39672887,1932069.597,21030597.399,16710220.004,4.87,53.01,42.12,89758,441.7,,,441.3,,,,.7,,,135.5,763977,48015,.06,111.53,23.95,.04,82.29000000000001,17.67,.06,.21,37.89,1.28,72.15000000000001,1.38,.48,2.39,.84,2.13,.7,1.02,.7,.97,.05,5.43,3.05,.62,4.19,,,,,,,,,120,6026388,50379.43,8279,,,533,,8.57,120.68,5.52,.255,2298000,641200,178100,6300,99459,50300,4079,3278,512,289,93393104,72539349,13564915,7288840,,,,2001692,5054964,,,49733050,19916226,380623,20019855,5369907,4182912,13183940,20156144,1259,138,,80782,,,2930721,,3121077,158729,705628,54478356,63654548,27242485,9,182,373,21,3807,18317,15632,2760,77532,,25.19,29.96,170237,60672,21691,385,137,,,,,,6,34,2964,67,,,2559,158,19850,11605,18160,614,17441,105,,9986,115,8560,1311,,153,46892,571128,179,686,1350000,,,,,,27245,,,59635,,,119101,1333616,10000,,,100,,92.7,86.19,,,2117966,1730699,1089431,,,,,533.47,,77532,175.5309033280507,39672887,,,4.416602,,7125.583333333333
2014,330600,绍兴,42658839,1940977.174,22135671.557,18582190.268,4.55,51.89,43.56,86136,443,,,442.4,,,,2.6,,,139.737,1010446,38108,.027,114.042,25.668,.02,81.61,18.37,.027,.201,37.187,1.299,75.35599999999999,1.549,.51,2.554,.718,2.509,.776,1.006,.83,1.044,.069,5.722,3.264,.654,4.462,,,,,,,,,123,6752428,54764.22,8279,,,535,,7.5,97.76000000000001,,.173,,569200,168500,,103000,41800,4231,3451,494,286,97353042,77026463,12960163,7366416,,,,2213463,5475273,,,52140047,20217774,388722,23046833,6135118,4656949,14871391,21758441,1465,141,,67130,,,3172705,,3464437,184555,779332,58233946,65542219,28061541,9,180,359,20,3912,18320,15647,2772,80348,,24.61,28.86,154988,53624,15822,181,121,,,,,,,35,3367,76,,,,162,20804,12012,10658,834,9721,103,,11583,102,10091,1390,,154,50696,557053,151,692,1540000,,,,,,26341,,,64935,,,113557,1729989,36206,,,100,,97.2,87.89,,,3450899,4831828,1165416,,,,,535.14,,80348,181.372460496614,42658839,,4.956,4.430358,.118645490951296,6309.636363636364
2015,330600,绍兴,44659653,1987354.558,22530794.938,20141503.503,4.45,50.45,45.1,90003,443.11,,,443.1,,,,.43,,,138.625,1269589,39940,.017,112.675,25.934,.01,81.28,18.71,.017,.192,34.645,1.23,76.608,1.654,.478,2.659,.6830000000000001,2.51,.744,1.045,.831,1.041,.075,5.752,3.372,.672,4.419,,,,,,,,,122,7175981,58728,8279,,,535,,7.13,95.02,,.19,,631900,154700,,106500,40700,4352,3641,449,262,97463846,77785605,11989118,7689123,,,,2278643,5452213,,,51408276,19869956,407649,25828403,6226472,4276397,16210630,25165212,1825,196,,94152,,,3628935,,4214117,209746,935338,59472120,68209613,31130334,9,185,369,20,3952,18498,15714,2868,83831,,23.6,27.73,,51516,,189,116,,,,,,,,3820,86,,,,182,23159,12911,,,9899,121,,,,10866,1405,,157,51478,519632,144,705,1650000,,,,,,26069,,,59980,,,129453,1495554,32588,,,100,,96.90000000000001,90.56999999999999,,,2197115,1941977,1226457,,,,,535.09,,83831,189.1877863284512,44659653,,4.968,4.431052,.121178447014389,10332.66666666667
2016,330600,绍兴,47890304,2078439.194,23983464.243,21833189.594,4.34,50.08,45.59,96204,445,,,444,,,,2.58,,,136.825,1407546,38463,.016,110.996,25.814,.01,81.12,18.87,.016,.18,32.872,1.256,76.687,1.622,.473,2.518,.628,2.56,.724,1.104,.777,1.049,.123,5.787,3.366,.452,4.629,,,,,,,,,133,8155143,61394,8279,,,,800309,5.52,95.48,,.111,,632600,152600,,109800,36200,4430,3764,427,239,98269408,77707145,13499729,7062534,,,,2255390,5921035,,,51541888,20047603,409140,28824824,6411932,4313513,17833404,27410004,2072,277,,80031,,,3903010,,4560959,228725,971151,61111742,72633137,34052747,10,186,343,20,4072,18814,15718,2988,90277,,23,26,,49763,,,,,,,,,,,4174,,,,,193,25225,14171,,,2957,124,,,,11134,1313,,158,58569,541104,127,783,1810000,,,,,,24383,,,27499,,,104292,597026,14441,,,100,,94.58,93.63,,,2112295,1696537,1270476,,,,,,,90277,202.8696629213483,47890304,,4.988,4.445334,.122075416605367,8963.5
2017,330600,绍兴,50783700,,,,,,,101588,446,,,446,161,47982,35135,2.88,,,120.247,1425458,37498,.012,94.48999999999999,25.744,.01,78.58,21.41,.012,.166,30.214,1.243,62.868,1.463,.488,2.25,.583,2.613,.62,.98,.636,1.076,.185,6.028,3.543,.42,4.859,,,,,,,,,116,7836846,67489,8279,,,,620287,,75.12,,.04,,641100,84500,,112500,14200,4494,3906,380,208,,,,,,,,1975490,5049055,,,45056648,17866993,387409,,6780731,5032049,19776588,28076652,2243,407,,128666,,,4313596,,4698303,260669,995509,66767606,76575632,36077511,11,187,335,20,4431,19436,15863,3086,,97345,23,26,,49300,,,,46724,1194690,51107,25741,2118,,,4240,,12,25,,76,21242,15195,,,2805,121,,,,12055,1371,,,63523,531404,,883,2010000,4115520,3214714,225207,,,25057,,,16092,,,,,9538,18882,,100,,91.11,95.15000000000001,41,,2249032,1793268,1318144,,,,,,97345,97345,218.262331838565,50783700,41,5.01,4.464803,.122109978872528,11014.41666666667
2018,330600,绍兴,54168952,1960916.062,26120268.654,26087767.283,3.62,48.22,48.16,107853,447,,,447,161,37466,32728,1.06,,,115.06,1365505,38464,.011,89.70999999999999,25.34,.01,77.97,22.02,.011,.146,25.59,1.098,62.877,1.312,.441,2.002,.593,2.252,.611,.882,.654,.916,.14,6.391,3.652,.372,5.122,,,,,,,,,111,8379398,75375,8279,,,,598192,7.09,77.58,,.043,,597900,80400,,115800,18000,4584,3984,379,221,,,,,,,,1727692,3965880,,,44743727,,343183,,7980641,6341382,20076104,33061469,2335,230,,135141,1941853,20461031,5013379,,5566451,315725,1202789,74683142,82269775,40828737,11,187,330,19,4782,19565,16043,3148,,99270,23,26,,47581,,,,53865,1280970,47094,37288,3254,,,4850,,12,25,,81,21651,15662,,,2798,107,,,,12596,1565,,,73034,561948,,730,2190000,4377184,3381429,248835,,,24758,,,11074,,,,,5597,13991,,100,,93.39,95.59999999999999,37,,2367257,1927824,1206968,,,,,,99270,99270,222.0805369127517,54168952,37,5.223,4.472101,.167907433217631,13539.66666666667
